"Query String","Search Type","Search Result","Search Result Message","Canonical SMILES","MolPort ID","Verified amount (mg)","Unverified amount (mg)","Link"
"CN(CCCn1c(=O)nc(c2c1CCCC2)SCC(=O)Nc1cccc(c1)C)C","EXACT","FOUND","Search completed!","CN(C)CCCn1c2CCCCc2c(SCC(=O)Nc2cccc(C)c2)nc1=O","MolPort-003-151-994",100,100,"https://www.molport.com/shop/molecule-link/MolPort-003-151-994"
"CCOC(=O)c1ccc(cc1)S(=O)(=O)NCc1cccnc1N(C)C","EXACT","FOUND","Search completed!","CCOC(=O)c1ccc(cc1)S(=O)(=O)NCc1cccnc1N(C)C","MolPort-009-310-499",40,40,"https://www.molport.com/shop/molecule-link/MolPort-009-310-499"
"O=C1CC(C)(C)CC(=O)C1=NNc1c(F)cccc1F","EXACT","FOUND","Search completed!","CC1(C)CC(=O)C(=NNc2c(F)cccc2F)C(=O)C1","MolPort-002-895-402",1500,1500,"https://www.molport.com/shop/molecule-link/MolPort-002-895-402"
"COc1ccccc1C(=O)NC(=O)COc1cc(Cl)ccc1Cl","EXACT","FOUND","Search completed!","COc1ccccc1C(=O)NC(=O)COc1cc(Cl)ccc1Cl","MolPort-009-209-398",100,100,"https://www.molport.com/shop/molecule-link/MolPort-009-209-398"
"Cc1nnc(s1)NC(=O)c1cc(=O)c2c(o1)c(C)c(cc2)C","EXACT","FOUND","Search completed!","Cc1nnc(NC(=O)c2cc(=O)c3ccc(C)c(C)c3o2)s1","MolPort-000-521-936",100,100,"https://www.molport.com/shop/molecule-link/MolPort-000-521-936"
"O=C(NC(c1ccccc1)C)CN1CCN(CC1)S(=O)(=O)c1cc(C)ccc1C","EXACT","FOUND","Search completed!","CC(NC(=O)CN1CCN(CC1)S(=O)(=O)c1cc(C)ccc1C)c1ccccc1","MolPort-004-112-503",100,100,"https://www.molport.com/shop/molecule-link/MolPort-004-112-503"
"O=C(c1cc[nH]n1)N1CCC(CC1)Nc1ccc(nn1)C","EXACT","FOUND","Search completed!","Cc1ccc(NC2CCN(CC2)C(=O)c2cc[nH]n2)nn1","MolPort-020-021-751",50,50,"https://www.molport.com/shop/molecule-link/MolPort-020-021-751"
"CCOc1ccc(cc1CN1C(=O)NC(C1=O)(C)C1CC1)C(=O)C","EXACT","FOUND","Search completed!","CCOc1ccc(cc1CN1C(=O)NC(C)(C2CC2)C1=O)C(C)=O","MolPort-004-076-079",75,75,"https://www.molport.com/shop/molecule-link/MolPort-004-076-079"
"NCc1ccccc1CS(=O)(=O)N1CCOCC1","EXACT","FOUND","Search completed!","NCc1ccccc1CS(=O)(=O)N1CCOCC1","MolPort-002-471-023",10000,10000,"https://www.molport.com/shop/molecule-link/MolPort-002-471-023"
"COc1ccc(c(c1)[N+](=O)[O-])NC(=O)COc1ccc(cc1Cl)Cl","EXACT","FOUND","Search completed!","COc1ccc(NC(=O)COc2ccc(Cl)cc2Cl)c(c1)[N+]([O-])=O","MolPort-002-145-827",400,400,"https://www.molport.com/shop/molecule-link/MolPort-002-145-827"
"Clc1ccc(cc1)/C(=N/N1CCN(CC1)Cc1ccccc1)/C","ISOMER","FOUND","Search completed!","C\C(=N\N1CCN(Cc2ccccc2)CC1)c1ccc(Cl)cc1","MolPort-001-823-322",100,100,"https://www.molport.com/shop/molecule-link/MolPort-001-823-322"
"O1CCN(CC1)c1nsnc1OCc1ccccc1","EXACT","FOUND","Search completed!","C(Oc1nsnc1N1CCOCC1)c1ccccc1","MolPort-000-466-441",20,20,"https://www.molport.com/shop/molecule-link/MolPort-000-466-441"
"[O-][N+](=O)c1c(C)c(N)c(c(c1C)[N+](=O)[O-])C","EXACT","FOUND","Search completed!","Cc1c(N)c(C)c(c(C)c1[N+]([O-])=O)[N+]([O-])=O","MolPort-001-934-011",400,400,"https://www.molport.com/shop/molecule-link/MolPort-001-934-011"
"O=C(c1c(O)c2ccccc2n(c1=O)C)Nc1nccs1","EXACT","FOUND","Search completed!","Cn1c2ccccc2c(O)c(C(=O)Nc2nccs2)c1=O","MolPort-001-731-763",100,100,"https://www.molport.com/shop/molecule-link/MolPort-001-731-763"
"O1CCN(CC1)Cc1nc2ccccc2c2n1c1ccccc1n2","EXACT","FOUND","Search completed!","C(N1CCOCC1)c1nc2ccccc2c2nc3ccccc3n12","MolPort-000-271-980",600,600,"https://www.molport.com/shop/molecule-link/MolPort-000-271-980"
"COc1ccc(cc1NC(C(=O)c1c[nH]c2c1cccc2)C)C","EXACT","FOUND","Search completed!","COc1ccc(C)cc1NC(C)C(=O)c1c[nH]c2ccccc12","MolPort-005-557-982",100,100,"https://www.molport.com/shop/molecule-link/MolPort-005-557-982"
"O=C(C1=C(O)[C@H]2[C@]34[C@](C1)(O)[C@@H](Cc1c4c(O2)c(O)cc1)N(CC3)CC1CC1)NC(c1onc(n1)c1ccccc1)(C)C","EXACT","FOUND","Search completed!","CC(C)(NC(=O)C1=C(O)[C@@H]2Oc3c4c(C[C@H]5N(CC6CC6)CC[C@@]24[C@@]5(O)C1)ccc3O)c1nc(no1)-c1ccccc1","MolPort-046-590-015",0,0,"https://www.molport.com/shop/molecule-link/MolPort-046-590-015"
"COc1ccccc1N1CCN(CC1)CCCCN1C(=O)c2c(C1=O)cccc2.Br","EXACT","FOUND","Search completed!","Br.COc1ccccc1N1CCN(CCCCN2C(=O)c3ccccc3C2=O)CC1","MolPort-003-958-974",200,250,"https://www.molport.com/shop/molecule-link/MolPort-003-958-974"
"COCCCNC(=O)CN(S(=O)(=O)C)c1cc(ccc1Cl)C(F)(F)F","EXACT","FOUND","Search completed!","COCCCNC(=O)CN(c1cc(ccc1Cl)C(F)(F)F)S(C)(=O)=O","MolPort-002-222-665",200,200,"https://www.molport.com/shop/molecule-link/MolPort-002-222-665"
"CC(CC(=O)Nc1ccc(cc1)N1CCOCC1)C","EXACT","FOUND","Search completed!","CC(C)CC(=O)Nc1ccc(cc1)N1CCOCC1","MolPort-002-850-474",100,100,"https://www.molport.com/shop/molecule-link/MolPort-002-850-474"
"CCN(CCCCN1c2ccccc2Sc2c1cccc2)CC.Cl","EXACT","FOUND","Search completed!","Cl.CCN(CC)CCCCN1c2ccccc2Sc2ccccc12","MolPort-002-137-939",5,5,"https://www.molport.com/shop/molecule-link/MolPort-002-137-939"
"COc1ccc(cc1)CNC(=O)CN(S(=O)(=O)c1ccc(s1)Br)C","EXACT","FOUND","Search completed!","COc1ccc(CNC(=O)CN(C)S(=O)(=O)c2ccc(Br)s2)cc1","MolPort-007-611-616",2,2,"https://www.molport.com/shop/molecule-link/MolPort-007-611-616"
"Fc1cccc(c1)C1(N)CCCCC1.[Cl-]","EXACT","FOUND","Search completed!","NC1(CCCCC1)c1cccc(F)c1","MolPort-013-255-627",40000,40000,"https://www.molport.com/shop/molecule-link/MolPort-013-255-627"
"Fc1cccc(c1)C1(N)CCCCC1.Cl","EXACT","FOUND","Search completed!","NC1(CCCCC1)c1cccc(F)c1","MolPort-013-255-627",40000,40000,"https://www.molport.com/shop/molecule-link/MolPort-013-255-627"
"CC(NC(=O)C1(CC1)c1ccccc1)Cn1cncc1","EXACT","FOUND","Search completed!","CC(Cn1ccnc1)NC(=O)C1(CC1)c1ccccc1","MolPort-020-112-762",100,100,"https://www.molport.com/shop/molecule-link/MolPort-020-112-762"
"CC(=O)NC(=O)c1cc2cc(Cl)cc(c2oc1=Nc1ccc(cc1)F)Cl","ISOMER","FOUND","Search completed!","CC(=O)NC(=O)c1cc2cc(Cl)cc(Cl)c2o\c1=N/c1ccc(F)cc1","MolPort-003-717-805",100,100,"https://www.molport.com/shop/molecule-link/MolPort-003-717-805"
"CCCc1n[nH]c2c1C(C(=C(O2)N)C#N)c1ccc(cc1OC)OC","EXACT","FOUND","Search completed!","CCCc1n[nH]c2OC(N)=C(C#N)C(c12)c1ccc(OC)cc1OC","MolPort-000-437-367",400,400,"https://www.molport.com/shop/molecule-link/MolPort-000-437-367"
"Clc1ccc2c(c1)C(=NCc1n2cnn1)c1ccccc1Cl","EXACT","FOUND","Search completed!","Clc1ccc-2c(c1)C(=NCc1nncn-21)c1ccccc1Cl","MolPort-002-800-934",500,500,"https://www.molport.com/shop/molecule-link/MolPort-002-800-934"
"Clc1ccc(cc1)c1nnn[nH]1","EXACT","FOUND","Search completed!","Clc1ccc(cc1)-c1nn[nH]n1","MolPort-001-002-696",100000,100000,"https://www.molport.com/shop/molecule-link/MolPort-001-002-696"
"O=C(Nc1ncccc1C)Nc1cccc(c1)F","EXACT","FOUND","Search completed!","Cc1cccnc1NC(=O)Nc1cccc(F)c1","MolPort-001-890-811",100,100,"https://www.molport.com/shop/molecule-link/MolPort-001-890-811"
"CCOC(=O)c1cnc2n(c1=O)ccc(c2)C","EXACT","FOUND","Search completed!","CCOC(=O)c1cnc2cc(C)ccn2c1=O","MolPort-001-909-904",1000,10000,"https://www.molport.com/shop/molecule-link/MolPort-001-909-904"
"O=C1N(Cc2cccnc2)C(=O)C2C1CC1=C(C2)CCCC1(C)C","EXACT","FOUND","Search completed!","CC1(C)CCCC2=C1CC1C(C2)C(=O)N(Cc2cccnc2)C1=O","MolPort-002-087-709",10,10,"https://www.molport.com/shop/molecule-link/MolPort-002-087-709"
"COC(=O)c1ccc(c(c1)NC(=O)COc1ccc(cc1)C12CC3CC(C2)CC(C1)C3)O","EXACT","FOUND","Search completed!","COC(=O)c1ccc(O)c(NC(=O)COc2ccc(cc2)C23CC4CC(CC(C4)C2)C3)c1","MolPort-003-791-494",3,100,"https://www.molport.com/shop/molecule-link/MolPort-003-791-494"
